record_id,text,record_class,doc_id,doc_order,record_order,title,surface,source_index
PASSION24.TEXT.RELATED_HOUR_04.BODY.P125,"Ma fille, quand l'âme accomplit ses actes dans Ma Volonté, elle reproduit Ma Vie. Si elle réalise dix actes dans Ma Volonté, elle Me reproduit dix fois. Si elle en fait vingt, cent, mille, ou même davantage dans Ma Volonté, elle Me reproduit autant de fois. Cela est semblable à la consécration sacramentelle :",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,125,Textes liés à la 4e Heure,library_body,125
PASSION24.TEXT.RELATED_HOUR_04.BODY.P126,Je suis reproduit en autant d'hosties qu'il y en a de consacrées.,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,126,Textes liés à la 4e Heure,library_body,126
PASSION24.TEXT.RELATED_HOUR_04.BODY.P127,"Cependant, J'ai besoin d'un prêtre pour consacrer les hosties. Dans le cas de Ma Volonté, J'ai besoin des actes des créatures qui sont des hosties vivantes non inertes comme les hosties sacramentelles avant leur consécration afin que Ma Volonté puisse s'inclure dans ces actes. Ainsi, Je suis reproduit dans chaque acte d'une âme quand ils sont réalisés dans Ma Volonté. Pour cette raison, Mon Amour trouve plein soulagement et pleine satisfaction dans les âmes qui vivent dans Ma Volonté.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,127,Textes liés à la 4e Heure,library_body,127
PASSION24.TEXT.RELATED_HOUR_04.BODY.P128,"Ce sont elles qui servent de fondement, non seulement aux actes d'Amour et d'Adoration que toutes les créatures Me doivent, mais aussi de Ma Vie sacramentelle elle-même.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,128,Textes liés à la 4e Heure,library_body,128
PASSION24.TEXT.RELATED_HOUR_04.BODY.P129,"Combien de fois Ma Vie sacramentelle reste-t-elle prisonnière et enchaînée dans quelques Hosties consacrées ! Ils sont peu nombreux ceux qui reçoivent la communion. Souvent, il n'y a aucun prêtre pour Me consacrer.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,129,Textes liés à la 4e Heure,library_body,129
PASSION24.TEXT.RELATED_HOUR_04.BODY.P130,"Ma vie sacramentelle, non seulement n'arrive pas à être reproduite comme Je le désire, mais souvent cesse d'exister.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,130,Textes liés à la 4e Heure,library_body,130
PASSION24.TEXT.RELATED_HOUR_04.BODY.P131,Oh ! Comme Mon Amour souffre !,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,131,Textes liés à la 4e Heure,library_body,131
PASSION24.TEXT.RELATED_HOUR_04.BODY.P132,Je voudrais reproduire Ma Vie chaque jour en autant d'Hosties qu'il y a de créatures afin que Je puisse Me donner à chacune d'elles.,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,132,Textes liés à la 4e Heure,library_body,132
PASSION24.TEXT.RELATED_HOUR_04.BODY.P133,"Cependant, J'attends en vain : Ma Volonté demeure paralysée.",library_text,PASSION24.TEXT.RELATED_HOUR_04,64,133,Textes liés à la 4e Heure,library_body,133
PASSION24.TEXT.RELATED_HOUR_04.BODY.P134,Mais ce que J'ai décidé se fera. Voilà pourquoi Je prends une voie différente et Je Me reproduis en chaque acte réalisé par les créatures vivant dans Ma Volonté.,library_text,PASSION24.TEXT.RELATED_HOUR_04,64,134,Textes liés à la 4e Heure,library_body,134
