active_breaks_near_exit,alias_group,alias_key,all_projection_breaks,all_topology_breaks,context_after,context_before,full_text,label,next_char,next_token,orphan_break,paragraph_id,quoted,resume_lexical_offset,row_id,run_end,run_index,run_start,speaker,speech_end_map,text_sha256,wrapper_end,wrapper_start
147,PASSION24.HOUR.07.P015#R00,b0f82f05b9006a1e,147,147, Puis il me semble entendre que Tu appelles à l’aide ta chère Maman :,,"Mais regarde-Moi, ô Père. Je suis toujours ton Fils et Je fais un avec Toi. De grâce, aie pitié de Moi. Ô Père, ne Me laisse pas sans réconfort ! » Puis il me semble entendre que Tu appelles à l’aide ta chère Maman :",7e Heure — Troisième Heure de l’Agonie dans le Jardin,P,Puis,,PASSION24.HOUR.07.P015,"Mais regarde-Moi, ô Père. Je suis toujours ton Fils et Je fais un avec Toi. De grâce, aie pitié de Moi. Ô Père, ne Me laisse pas sans réconfort !",148,PASSION24.HOUR.07.P015#R00,145,0,0,JESUS,147,b4787918206c53d49090f534a3e5f8d98200b30fb4b77ef2f94900f4c67452a6,147,145
22,PASSION24.HOUR.07.P030#R00,65055d1d82325a20,22,22," Jésus, chacun de tes Gémissements est une blessure à mon cœur. Je fais miens ton Sang, ton Vouloir, ton Zèle ardent, ton Amour.",,"Venez, âmes, venez ! » Jésus, chacun de tes Gémissements est une blessure à mon cœur. Je fais miens ton Sang, ton Vouloir, ton Zèle ardent, ton Amour.",7e Heure — Troisième Heure de l’Agonie dans le Jardin,J,Jésus,,PASSION24.HOUR.07.P030,"Venez, âmes, venez !",23,PASSION24.HOUR.07.P030#R00,20,0,0,JESUS,22,4634f58998a2ca1644376a8cb05d01dc31e96b4540fa01a1b7eeb08600c4a4c9,22,20
228,PASSION24.HOUR.07.P117#R00,6aeefd2b88884121,228,228," Ô Jésus agonisant, ta Vie est sur le point de s’éteindre. J’entends tes gémissements. Tes beaux Yeux sont voilés par la mort toute proche. Tous tes Membres cèdent et Tu sembles ne",« ,"« Ô mon enfant, combien d’âmes Me fuient et finissent par tomber dans l’éternelle ruine ! Comment pourra se calmer ma Souffrance si une seule âme se perd ? J’aime chaque âme, au même titre que J’aime toutes les âmes ensemble ! » Ô Jésus agonisant, ta Vie est sur le point de s’éteindre. J’entends tes gémissements. Tes beaux Yeux sont voilés par la mort toute proche. Tous tes Membres cèdent et Tu sembles ne plus respirer. Mon cœur est brisé de douleur. Je T’embrasse et je Te sens gelé. Je Te secoue et Tu ne donnes pas signe de vie : « Jésus, es-Tu mort ? »",7e Heure — Troisième Heure de l’Agonie dans le Jardin,Ô,Ô,,PASSION24.HOUR.07.P117,"Ô mon enfant, combien d’âmes Me fuient et finissent par tomber dans l’éternelle ruine ! Comment pourra se calmer ma Souffrance si une seule âme se perd ? J’aime chaque âme, au même titre que J’aime toutes les âmes ensemble !",229,PASSION24.HOUR.07.P117#R00,226,0,2,JESUS,228,00e20c43e6c808401a53eefc135761653ba68719efa5848892680e06ab1396ea,228,226
128,PASSION24.HOUR.07.P125#R00,40788e4027f4361c,128,128," Mon Jésus angoissé, puisque Tu as voulu porter en Toi ma mort, je Te prie de venir m’assister au moment de ma mort.",,"Tu as bien vu qu’alors que Je mourais, Je recommençais à respirer. C’étaient les morts des créatures que Je ressentais en Moi. » Mon Jésus angoissé, puisque Tu as voulu porter en Toi ma mort, je Te prie de venir m’assister au moment de ma mort.",7e Heure — Troisième Heure de l’Agonie dans le Jardin,M,Mon,,PASSION24.HOUR.07.P125,"Tu as bien vu qu’alors que Je mourais, Je recommençais à respirer. C’étaient les morts des créatures que Je ressentais en Moi.",129,PASSION24.HOUR.07.P125#R00,126,0,0,JESUS,128,277905e8051e6342d63872a475a6e71d97656f9b8e581adf13daad0b4d2e6bdf,128,126
111,PASSION24.HOUR.08.P007#R00,d9e7fca8725e0061,111,111," On dirait que c’est à moi aussi que Tu adresses cette Parole, non en m’appelant “ami”, mais en m’appelant du doux nom d’“enfant”.","Ah ! comme elle m’est douce au cœur, la Parole que Tu adressas à Judas : « ","Ah ! comme elle m’est douce au cœur, la Parole que Tu adressas à Judas : « Mon ami, pourquoi es-tu venu ici ? » On dirait que c’est à moi aussi que Tu adresses cette Parole, non en m’appelant “ami”, mais en m’appelant du doux nom d’“enfant”.",8e Heure — L’arrestation de Jésus dans le Jardin des Oliviers,O,On,,PASSION24.HOUR.08.P007,"Mon ami, pourquoi es-tu venu ici ?",112,PASSION24.HOUR.08.P007#R00,109,0,75,JESUS,111,defe0ee6ba0584e501ca00f7c12a98e001fd65bdcc8de6ce8b08bc98bc626147,111,109
42,PASSION24.HOUR.08.P008#R00,841ee3707c4666e0,42,42," Et je veux Te répondre : « Jésus, je viens pour T’aimer. »",« ,"« Mon enfant, pourquoi es-tu venue ici ? » Et je veux Te répondre : « Jésus, je viens pour T’aimer. »",8e Heure — L’arrestation de Jésus dans le Jardin des Oliviers,E,Et,,PASSION24.HOUR.08.P008,"Mon enfant, pourquoi es-tu venue ici ?",43,PASSION24.HOUR.08.P008#R00,40,0,2,JESUS,42,c5c6edd2c3cb979c27c8612ac78bf87b65b416228afd4ae4335f6c24bed10920,42,40
42,PASSION24.HOUR.08.P009#R00,4fe328c13798eea9,42|140,42|140," quand je me réveille le matin ou quand je Te prie. Tu me répètes : « Pourquoi es-tu venue ici ? » à travers la sainte Hostie, quand je viens Te recevoir dans mon cœur. Quel beau r",Tu me dis : « ,"Tu me dis : « Pourquoi es-tu venue ici ? » quand je me réveille le matin ou quand je Te prie. Tu me répètes : « Pourquoi es-tu venue ici ? » à travers la sainte Hostie, quand je viens Te recevoir dans mon cœur. Quel beau rappel pour moi !",8e Heure — L’arrestation de Jésus dans le Jardin des Oliviers,q,quand,,PASSION24.HOUR.08.P009,Pourquoi es-tu venue ici ?,43,PASSION24.HOUR.08.P009#R00,40,0,14,JESUS,42|140,840d2a04d5614d1f5e0eab3d41e237aec1f00c982b89c5cb590f3a979b11d23b,42,40
140,PASSION24.HOUR.08.P009#R01,6906fb4659e581eb,42|140,42|140," à travers la sainte Hostie, quand je viens Te recevoir dans mon cœur. Quel beau rappel pour moi !",ue ici ? » quand je me réveille le matin ou quand je Te prie. Tu me répètes : « ,"Tu me dis : « Pourquoi es-tu venue ici ? » quand je me réveille le matin ou quand je Te prie. Tu me répètes : « Pourquoi es-tu venue ici ? » à travers la sainte Hostie, quand je viens Te recevoir dans mon cœur. Quel beau rappel pour moi !",8e Heure — L’arrestation de Jésus dans le Jardin des Oliviers,à,à,,PASSION24.HOUR.08.P009,Pourquoi es-tu venue ici ?,141,PASSION24.HOUR.08.P009#R01,138,1,112,JESUS,42|140,840d2a04d5614d1f5e0eab3d41e237aec1f00c982b89c5cb590f3a979b11d23b,140,138
49,PASSION24.HOUR.08.P010#R00,05e514410f59e6aa,49,49, répondent : « Je viens pour T’offenser ! »,"Mais combien, à ton « ","Mais combien, à ton « Pourquoi es-tu venu ici ? » répondent : « Je viens pour T’offenser ! »",8e Heure — L’arrestation de Jésus dans le Jardin des Oliviers,r,répondent,,PASSION24.HOUR.08.P010,Pourquoi es-tu venu ici ?,50,PASSION24.HOUR.08.P010#R00,47,0,22,JESUS,49,7b830264a69d1efb5682e5dfff1dc86a35ff37c8000163489309fe6280950518,49,47
34,PASSION24.HOUR.08.P014#R00,952ca05a8b6285c3,34,34," Par ces simples paroles, Tu dis tout. Tu Te fais connaître pour ce que Tu es. Tant et si bien que tes ennemis tremblent et tombent à la renverse, comme morts.",Alors Tu leur dis : « ,"Alors Tu leur dis : « Me voici ! » Par ces simples paroles, Tu dis tout. Tu Te fais connaître pour ce que Tu es. Tant et si bien que tes ennemis tremblent et tombent à la renverse, comme morts.",8e Heure — L’arrestation de Jésus dans le Jardin des Oliviers,P,Par,,PASSION24.HOUR.08.P014,Me voici !,35,PASSION24.HOUR.08.P014#R00,32,0,22,JESUS,34,74bd1faae3bdbdaa45b8c65b75a113bc02ba81821b8903f28350c8c931555ee5,34,32
