key,quote_family,open_target,open_offset,close_target,close_offset,presentation_parent,defects
straight_double|PASSION24.TEXT.RELATED_HOUR_06.BODY.P059|191|PASSION24.TEXT.RELATED_HOUR_06.BODY.P060|73|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_06.BODY.P059,191,PASSION24.TEXT.RELATED_HOUR_06.BODY.P060,73,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_06.BODY.P061|37|PASSION24.TEXT.RELATED_HOUR_06.BODY.P062|49|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_06.BODY.P061,37,PASSION24.TEXT.RELATED_HOUR_06.BODY.P062,49,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_13.BODY.P013|83|PASSION24.TEXT.RELATED_HOUR_13.BODY.P013|161|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_13.BODY.P013,83,PASSION24.TEXT.RELATED_HOUR_13.BODY.P013,161,JESUS,CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_13.BODY.P031|166|PASSION24.TEXT.RELATED_HOUR_13.BODY.P033|86|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_13.BODY.P031,166,PASSION24.TEXT.RELATED_HOUR_13.BODY.P033,86,JESUS,CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_15.BODY.P040|162|PASSION24.TEXT.RELATED_HOUR_15.BODY.P041|95|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_15.BODY.P040,162,PASSION24.TEXT.RELATED_HOUR_15.BODY.P041,95,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_15.BODY.P042|37|PASSION24.TEXT.RELATED_HOUR_15.BODY.P042|54|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_15.BODY.P042,37,PASSION24.TEXT.RELATED_HOUR_15.BODY.P042,54,JESUS,CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_15.BODY.P043|29|PASSION24.TEXT.RELATED_HOUR_15.BODY.P044|69|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_15.BODY.P043,29,PASSION24.TEXT.RELATED_HOUR_15.BODY.P044,69,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_15.BODY.P045|20|PASSION24.TEXT.RELATED_HOUR_15.BODY.P051|64|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_15.BODY.P045,20,PASSION24.TEXT.RELATED_HOUR_15.BODY.P051,64,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_15.BODY.P062|684|PASSION24.TEXT.RELATED_HOUR_15.BODY.P063|104|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_15.BODY.P062,684,PASSION24.TEXT.RELATED_HOUR_15.BODY.P063,104,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_15.BODY.P064|120|PASSION24.TEXT.RELATED_HOUR_15.BODY.P064|139|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_15.BODY.P064,120,PASSION24.TEXT.RELATED_HOUR_15.BODY.P064,139,JESUS,CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_15.BODY.P065|61|PASSION24.TEXT.RELATED_HOUR_15.BODY.P071|55|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_15.BODY.P065,61,PASSION24.TEXT.RELATED_HOUR_15.BODY.P071,55,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_15.BODY.P084|41|PASSION24.TEXT.RELATED_HOUR_15.BODY.P085|37|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_15.BODY.P084,41,PASSION24.TEXT.RELATED_HOUR_15.BODY.P085,37,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_15.BODY.P086|119|PASSION24.TEXT.RELATED_HOUR_15.BODY.P096|43|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_15.BODY.P086,119,PASSION24.TEXT.RELATED_HOUR_15.BODY.P096,43,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_15.BODY.P119|130|PASSION24.TEXT.RELATED_HOUR_15.BODY.P120|74|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_15.BODY.P119,130,PASSION24.TEXT.RELATED_HOUR_15.BODY.P120,74,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_15.BODY.P126|673|PASSION24.TEXT.RELATED_HOUR_15.BODY.P129|203|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_15.BODY.P126,673,PASSION24.TEXT.RELATED_HOUR_15.BODY.P129,203,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_16.BODY.P055|126|PASSION24.TEXT.RELATED_HOUR_16.BODY.P056|125|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_16.BODY.P055,126,PASSION24.TEXT.RELATED_HOUR_16.BODY.P056,125,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.SHARED_T09_1910_07_04_AGONY_CROSS_LAST_BREATH.BODY.P010|111|PASSION24.TEXT.SHARED_T09_1910_07_04_AGONY_CROSS_LAST_BREATH.BODY.P011|95|JESUS,straight_double,PASSION24.TEXT.SHARED_T09_1910_07_04_AGONY_CROSS_LAST_BREATH.BODY.P010,111,PASSION24.TEXT.SHARED_T09_1910_07_04_AGONY_CROSS_LAST_BREATH.BODY.P011,95,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_22.BODY.P028|14|PASSION24.TEXT.RELATED_HOUR_22.BODY.P028|171|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_22.BODY.P028,14,PASSION24.TEXT.RELATED_HOUR_22.BODY.P028,171,JESUS,CLOSE_DELIMITER_NOT_PARENT_PRESENTED
curly_single|PASSION24.TEXT.RELATED_HOUR_22.BODY.P090|216|PASSION24.TEXT.RELATED_HOUR_22.BODY.P090|238|JESUS,curly_single,PASSION24.TEXT.RELATED_HOUR_22.BODY.P090,216,PASSION24.TEXT.RELATED_HOUR_22.BODY.P090,238,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED;LEXICAL_CONTENT_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.PROMISES_BENEFITS.BODY.P133|105|PASSION24.TEXT.PROMISES_BENEFITS.BODY.P134|76|JESUS,straight_double,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P133,105,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P134,76,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED
