span_id,container,quote_family,quotation_depth,open_target,open_offset,close_target,close_offset,cross_record,semantic_speaker,presentation_parent,opener_hidden,closer_hidden,opener_presentation,first_lexical_target,first_lexical_offset,first_lexical_presentation,last_lexical_target,last_lexical_offset,last_lexical_presentation,closer_presentation,expected_class,actual_class,source_basis,status,defects,snippet
A-Q00321,PASSION24.TEXT.RELATED_HOUR_06,straight_double,2,PASSION24.TEXT.RELATED_HOUR_06.BODY.P042,50,PASSION24.TEXT.RELATED_HOUR_06.BODY.P043,48,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_06.BODY.P043,0,JESUS,PASSION24.TEXT.RELATED_HOUR_06.BODY.P043,47,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|OUTSIDE,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_06.BODY.P042@48; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED,""" … Que non pas Ma Volonté mais la Tienne soit faite"""
A-Q00322,PASSION24.TEXT.RELATED_HOUR_06,straight_double,2,PASSION24.TEXT.RELATED_HOUR_06.BODY.P045,48,PASSION24.TEXT.RELATED_HOUR_06.BODY.P046,136,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_06.BODY.P046,0,JESUS,PASSION24.TEXT.RELATED_HOUR_06.BODY.P046,134,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|OUTSIDE,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_06.BODY.P045@46; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED,""" … Que la volonté humaine ne se fasse plus sur la terre, mais la Volonté Divine. Que la volonté humaine soit bannie et que la Tienne règne."""
A-Q00324,PASSION24.TEXT.RELATED_HOUR_06,straight_double,2,PASSION24.TEXT.RELATED_HOUR_06.BODY.P047,198,PASSION24.TEXT.RELATED_HOUR_06.BODY.P048,50,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_06.BODY.P048,0,JESUS,PASSION24.TEXT.RELATED_HOUR_06.BODY.P048,48,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|OUTSIDE,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_06.BODY.P047@196; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED,""" … Que non pas Ma Volonté, mais la Tienne soit faite."""
A-Q00327,PASSION24.TEXT.RELATED_HOUR_06,straight_double,2,PASSION24.TEXT.RELATED_HOUR_06.BODY.P057,55,PASSION24.TEXT.RELATED_HOUR_06.BODY.P058,48,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_06.BODY.P058,0,JESUS,PASSION24.TEXT.RELATED_HOUR_06.BODY.P058,47,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|OUTSIDE,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_06.BODY.P057@53; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED,""" … Que non pas Ma volonté mais la tienne soit faite"""
A-Q00328,PASSION24.TEXT.RELATED_HOUR_06,straight_double,2,PASSION24.TEXT.RELATED_HOUR_06.BODY.P059,191,PASSION24.TEXT.RELATED_HOUR_06.BODY.P060,73,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_06.BODY.P060,0,JESUS,PASSION24.TEXT.RELATED_HOUR_06.BODY.P060,71,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|OUTSIDE,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_06.BODY.P059@189; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED,""" … Père, s'il est possible, que cette coupe de Ma volonté passe loin de Moi."""
A-Q00329,PASSION24.TEXT.RELATED_HOUR_06,straight_double,2,PASSION24.TEXT.RELATED_HOUR_06.BODY.P061,37,PASSION24.TEXT.RELATED_HOUR_06.BODY.P062,49,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_06.BODY.P062,0,JESUS,PASSION24.TEXT.RELATED_HOUR_06.BODY.P062,47,JESUS,JESUS,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|JESUS,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_06.BODY.P061@35; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED,""" … Que non pas Ma Volonté mais la Tienne soit faite."""
A-Q00361,PASSION24.TEXT.RELATED_HOUR_13,straight_double,2,PASSION24.TEXT.RELATED_HOUR_13.BODY.P013,83,PASSION24.TEXT.RELATED_HOUR_13.BODY.P013,161,False,JESUS,JESUS,False,False,JESUS,PASSION24.TEXT.RELATED_HOUR_13.BODY.P013,84,JESUS,PASSION24.TEXT.RELATED_HOUR_13.BODY.P013,158,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,JESUS|JESUS|JESUS|OUTSIDE,OPENER_ALREADY_DIVINE; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,CLOSE_DELIMITER_NOT_PARENT_PRESENTED,"""N'es-Tu pas Ma vraie prison d'Amour ? Cherche-Moi dans ton cœur et aime-Moi !"""
A-Q00363,PASSION24.TEXT.RELATED_HOUR_13,straight_double,2,PASSION24.TEXT.RELATED_HOUR_13.BODY.P031,166,PASSION24.TEXT.RELATED_HOUR_13.BODY.P033,86,True,JESUS,JESUS,False,False,JESUS,PASSION24.TEXT.RELATED_HOUR_13.BODY.P031,167,JESUS,PASSION24.TEXT.RELATED_HOUR_13.BODY.P033,83,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,JESUS|JESUS|JESUS|OUTSIDE,OPENER_ALREADY_DIVINE; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,CLOSE_DELIMITER_NOT_PARENT_PRESENTED,"""Ô homme, ce sont tes péchés qui M'ont jeté dans cette noirceur lugubre où Je souffre pour te donner la lumière. … Regarde-Moi : Je suis l'image de tes péchés. Si tu veux les voir, regarde-les en Moi !"""
A-Q00373,PASSION24.TEXT.RELATED_HOUR_15,straight_double,2,PASSION24.TEXT.RELATED_HOUR_15.BODY.P040,162,PASSION24.TEXT.RELATED_HOUR_15.BODY.P041,95,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_15.BODY.P041,0,JESUS,PASSION24.TEXT.RELATED_HOUR_15.BODY.P041,93,JESUS,JESUS,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|JESUS,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_15.BODY.P040@160; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED,""" … Mon Royaume n'est pas de ce monde. S'il était de ce monde, des légions d'anges Me défendraient."""
A-Q00374,PASSION24.TEXT.RELATED_HOUR_15,straight_double,2,PASSION24.TEXT.RELATED_HOUR_15.BODY.P042,37,PASSION24.TEXT.RELATED_HOUR_15.BODY.P042,54,False,JESUS,JESUS,False,False,JESUS,PASSION24.TEXT.RELATED_HOUR_15.BODY.P042,38,JESUS,PASSION24.TEXT.RELATED_HOUR_15.BODY.P042,51,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,JESUS|JESUS|JESUS|OUTSIDE,OPENER_ALREADY_DIVINE; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,CLOSE_DELIMITER_NOT_PARENT_PRESENTED,"""Tu es donc roi ?"""
A-Q00375,PASSION24.TEXT.RELATED_HOUR_15,straight_double,2,PASSION24.TEXT.RELATED_HOUR_15.BODY.P043,29,PASSION24.TEXT.RELATED_HOUR_15.BODY.P044,69,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_15.BODY.P044,0,JESUS,PASSION24.TEXT.RELATED_HOUR_15.BODY.P044,67,JESUS,JESUS,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|JESUS,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_15.BODY.P043@27; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED,""" … Oui, Je suis Roi. Et Je suis venu en ce monde pour révéler la Vérité."""
A-Q00377,PASSION24.TEXT.RELATED_HOUR_15,straight_double,2,PASSION24.TEXT.RELATED_HOUR_15.BODY.P045,20,PASSION24.TEXT.RELATED_HOUR_15.BODY.P051,64,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_15.BODY.P046,0,JESUS,PASSION24.TEXT.RELATED_HOUR_15.BODY.P051,62,JESUS,JESUS,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|JESUS,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_15.BODY.P045@18; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED,""" … Elle rend honteux ses ennemis. Elle les fait tomber à ses pieds."""
A-Q00379,PASSION24.TEXT.RELATED_HOUR_15,straight_double,2,PASSION24.TEXT.RELATED_HOUR_15.BODY.P062,684,PASSION24.TEXT.RELATED_HOUR_15.BODY.P063,104,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_15.BODY.P063,0,JESUS,PASSION24.TEXT.RELATED_HOUR_15.BODY.P063,102,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|OUTSIDE,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_15.BODY.P062@682; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED,""" … Mon Royaume n'est pas de ce monde. S'il était de ce monde, des légions d'anges viendraient à Ma défense."""
A-Q00380,PASSION24.TEXT.RELATED_HOUR_15,straight_double,2,PASSION24.TEXT.RELATED_HOUR_15.BODY.P064,120,PASSION24.TEXT.RELATED_HOUR_15.BODY.P064,139,False,JESUS,JESUS,False,False,JESUS,PASSION24.TEXT.RELATED_HOUR_15.BODY.P064,121,JESUS,PASSION24.TEXT.RELATED_HOUR_15.BODY.P064,136,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,JESUS|JESUS|JESUS|OUTSIDE,OPENER_ALREADY_DIVINE; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,CLOSE_DELIMITER_NOT_PARENT_PRESENTED,"""Alors, Tu es roi ?"""
A-Q00381,PASSION24.TEXT.RELATED_HOUR_15,straight_double,2,PASSION24.TEXT.RELATED_HOUR_15.BODY.P065,61,PASSION24.TEXT.RELATED_HOUR_15.BODY.P071,55,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_15.BODY.P066,0,JESUS,PASSION24.TEXT.RELATED_HOUR_15.BODY.P071,53,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|OUTSIDE,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_15.BODY.P065@59; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED,""" … Mon Royaume n'aura pas de fin et le tien tire à sa fin."""
A-Q00383,PASSION24.TEXT.RELATED_HOUR_15,straight_double,2,PASSION24.TEXT.RELATED_HOUR_15.BODY.P084,41,PASSION24.TEXT.RELATED_HOUR_15.BODY.P085,37,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_15.BODY.P085,0,JESUS,PASSION24.TEXT.RELATED_HOUR_15.BODY.P085,34,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|OUTSIDE,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_15.BODY.P084@39; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED,""" … Tu es donc roi ? Où est Ton Royaume ?"""
