target_id,actions,old_projection_json,new_projection_json,old_adjudication_json,new_adjudication_json,canonical_text_sha256
PASSION24.TEXT.RELATED_HOUR_06.BODY.P058,CLOSE_DELIMITER@48:JESUS,"{""runs"":[{""start"":0,""end"":48,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[49]}","{""runs"":[{""start"":0,""end"":49,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[49]}",null,null,f4df240dd916ae9db6393948d8bf4c6b4d3d55599473d51688697d462725c435
PASSION24.TEXT.RELATED_HOUR_06.BODY.P059,OPEN_DELIMITER@191:JESUS,"{""runs"":[{""start"":0,""end"":190,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":192,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,10e2520c125d414abd6fe2cb541948063c7aaa0e1abcb97b199e9614836e03f8
PASSION24.TEXT.RELATED_HOUR_06.BODY.P060,CLOSE_DELIMITER@73:JESUS,"{""runs"":[{""start"":0,""end"":73,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":74,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,b267c470de9a3b5349e22910e17d4627b3faf32a8c768ea7eeb22bd914425a2b
PASSION24.TEXT.RELATED_HOUR_06.BODY.P061,OPEN_DELIMITER@37:JESUS,"{""runs"":[{""start"":0,""end"":36,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":38,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,fdd8b33f4b4329d3a44a7cfeb7e135747d7a976496512ada987dbb9dc106c48a
PASSION24.TEXT.RELATED_HOUR_13.BODY.P013,CLOSE_DELIMITER@161:JESUS,"{""runs"":[{""start"":0,""end"":161,""speaker"":""JESUS""}],""hidden"":[{""start"":162,""end"":163,""role"":""OUTER_DIVINE_CLOSE_WRAPPER_HIDE"",""reason"":""OUTER_DIVINE_DIRECT_ATTRIBUTION""}],""breaks"":[162]}","{""runs"":[{""start"":0,""end"":162,""speaker"":""JESUS""}],""hidden"":[{""start"":162,""end"":163,""role"":""OUTER_DIVINE_CLOSE_WRAPPER_HIDE"",""reason"":""OUTER_DIVINE_DIRECT_ATTRIBUTION""}],""breaks"":[162]}",null,null,850228d7801c4357cbd34d667ad142e7fd34f9379bdec35cb28caba81e16fc35
PASSION24.TEXT.RELATED_HOUR_13.BODY.P033,CLOSE_DELIMITER@86:JESUS,"{""runs"":[{""start"":0,""end"":86,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":87,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,b70bca140c9f1b8d7d28421fd92d13e15b6b17049f1ed50ff0f5fb04e60535c7
PASSION24.TEXT.RELATED_HOUR_15.BODY.P040,OPEN_DELIMITER@162:JESUS,"{""runs"":[{""start"":0,""end"":161,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":163,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,63b831919c5a9ccfc726ee177b41f7e87b1cd7b067d3be3b0b9f52569eada1e9
PASSION24.TEXT.RELATED_HOUR_15.BODY.P042,CLOSE_DELIMITER@54:JESUS,"{""runs"":[{""start"":0,""end"":54,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":55,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,4362af41142d6d4ae9e57235e2658456b50744ae8ddfb4cae7b60e9a19596901
PASSION24.TEXT.RELATED_HOUR_15.BODY.P043,OPEN_DELIMITER@29:JESUS,"{""runs"":[{""start"":0,""end"":28,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":30,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,073994067cfabb9ec1715bf4bdbb1596ebcacf9ba6b0c1ac8efdec23ef9d5576
PASSION24.TEXT.RELATED_HOUR_15.BODY.P045,OPEN_DELIMITER@20:JESUS,"{""runs"":[{""start"":0,""end"":19,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":21,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,da3d18b9cc8b65bb3c8e21d0e82f49e3a43bcd28c9107b3076fefcfd5ce5ed94
PASSION24.TEXT.RELATED_HOUR_15.BODY.P062,OPEN_DELIMITER@684:JESUS,"{""runs"":[{""start"":0,""end"":683,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":685,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,ef1800ff5951a0ade58baf566248d41878670fde8f311f8bc9949a00c3d4b6df
PASSION24.TEXT.RELATED_HOUR_15.BODY.P063,CLOSE_DELIMITER@104:JESUS,"{""runs"":[{""start"":0,""end"":104,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":105,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,5d1e4eae32dd967a967a1bba369f891f2a01938f79dcfb0e8326631207923b5d
PASSION24.TEXT.RELATED_HOUR_15.BODY.P064,CLOSE_DELIMITER@139:JESUS,"{""runs"":[{""start"":0,""end"":139,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":140,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,cb52a815ecb55eacdf0d82a3276b16e5bcc29f9fc1f492de73ebe638613ce9e1
PASSION24.TEXT.RELATED_HOUR_15.BODY.P065,OPEN_DELIMITER@61:JESUS,"{""runs"":[{""start"":0,""end"":60,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":62,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,2268adccf4ad64d4e2c13771301f8f3a39c7ddd34888cfca12eb11f439c3eb96
PASSION24.TEXT.RELATED_HOUR_15.BODY.P071,CLOSE_DELIMITER@55:JESUS,"{""runs"":[{""start"":0,""end"":55,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":56,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,9ad2e147b6c714e1d76012227868db6264d42acb511056961a4275cca07e303a
PASSION24.TEXT.RELATED_HOUR_15.BODY.P084,OPEN_DELIMITER@41:JESUS,"{""runs"":[{""start"":0,""end"":40,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":42,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,8074fdc3e03166ba141898a9bbc902ba41c9fade7b22f2df6a632ed1e31145ab
PASSION24.TEXT.RELATED_HOUR_15.BODY.P085,CLOSE_DELIMITER@37:JESUS,"{""runs"":[{""start"":0,""end"":37,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":38,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,fd5465dc7da3d677b76b4584f8e5b59071d54f6cff94adf7636a325c1f478fe7
PASSION24.TEXT.RELATED_HOUR_15.BODY.P086,OPEN_DELIMITER@119:JESUS,"{""runs"":[{""start"":0,""end"":118,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":120,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,3ddeb640e7df0dd27100692c885c21db3cde91a84f3ef1aaf21fb7411bf43080
PASSION24.TEXT.RELATED_HOUR_15.BODY.P119,OPEN_DELIMITER@130:JESUS,"{""runs"":[{""start"":0,""end"":129,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":131,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,ff28ca97d24a41a7b92f96e51cae7761e31a0a8bc2699a9974b0506c8c2e13c6
PASSION24.TEXT.RELATED_HOUR_15.BODY.P126,OPEN_DELIMITER@673:JESUS,"{""runs"":[{""start"":0,""end"":672,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":674,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,da8b3eedc8eed442bda287d15a983328306715a9f94227f8ff1710c3e8b26501
PASSION24.TEXT.RELATED_HOUR_16.BODY.P055,OPEN_DELIMITER@126:JESUS,"{""runs"":[{""start"":0,""end"":125,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":127,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,c1d9002920d8d50facb472b9b469e19f1d5f01a4318b136841cef202d4370ac1
PASSION24.TEXT.RELATED_HOUR_22.BODY.P028,CLOSE_DELIMITER@171:JESUS,"{""runs"":[{""start"":0,""end"":171,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":172,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,8279baf0a79b35c83ed1a95078d2d2dbcb025435106c2b8255f5456fe93744bf
PASSION24.TEXT.RELATED_HOUR_22.BODY.P090,ADD_ADJUDICATION:GENERIC_SOUL:217-238;REMOVE_BREAK:215 | CLOSE_DELIMITER@238:JESUS | FULL_RECORD_PRESENTATION:JESUS:0-239 | LEXICAL_GAP@217:JESUS | LEXICAL_GAP@218:JESUS | LEXICAL_GAP@220:JESUS | LEXICAL_GAP@221:JESUS | LEXICAL_GAP@222:JESUS | LEXICAL_GAP@223:JESUS | LEXICAL_GAP@225:JESUS | LEXICAL_GAP@226:JESUS | LEXICAL_GAP@227:JESUS | LEXICAL_GAP@229:JESUS | LEXICAL_GAP@230:JESUS | LEXICAL_GAP@231:JESUS | LEXICAL_GAP@232:JESUS | LEXICAL_GAP@233:JESUS | LEXICAL_GAP@234:JESUS | LEXICAL_GAP@235:JESUS | LEXICAL_GAP@236:JESUS | OPEN_DELIMITER@216:JESUS,"{""runs"":[{""start"":0,""end"":215,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[215]}","{""runs"":[{""start"":0,""end"":239,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,"[{""start"":217,""end"":238,""semantic_speaker"":""GENERIC_SOUL"",""presentation_speaker"":""JESUS"",""quotation_depth"":1,""reason"":""v101.119 quoted-span closure: governing handover identifies source-supported GENERIC_SOUL nested speech inside active JESUS turn; canonical text and raw SPEECH_DATA remain unchanged.""}]",3693302b180b912bd98a9a6cbf63dcf199d571e124ed2b8bfc3daef6bd9108e0
PASSION24.TEXT.SHARED_T09_1910_07_04_AGONY_CROSS_LAST_BREATH.BODY.P010,OPEN_DELIMITER@111:JESUS,"{""runs"":[{""start"":0,""end"":110,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":112,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,9585395ba81384ee9765a04afe181c7efe6528c21373a24d6d6edee24017b508
